ID,UID,Name,Score,Country,TimeStamp
1,user0001,Name001,467,AU,2023-12-04 23:29:50
2,user0002,Name002,599,GB,2023-05-05 23:29:50
3,user0003,Name003,829,CA,2023-03-11 23:29:50
4,user0004,Name004,665,US,2023-12-26 23:29:50
5,user0005,Name005,346,AU,2023-03-10 23:29:50
6,user0006,Name006,991,US,2023-10-10 23:29:50
7,user0007,Name007,955,AU,2023-03-05 23:29:50
8,user0008,Name008,441,JP,2023-09-29 23:29:50
9,user0009,Name009,450,GB,2023-08-14 23:29:50
10,user0010,Name010,667,CA,2023-08-25 23:29:50
11,user0011,Name011,889,DE,2023-04-03 23:29:50
12,user0012,Name012,807,FR,2023-06-01 23:29:50
13,user0013,Name013,389,US,2023-10-05 23:29:50
14,user0014,Name014,382,FR,2023-02-13 23:29:50
15,user0015,Name015,201,US,2023-10-11 23:29:50
16,user0016,Name016,442,FR,2023-08-24 23:29:50
17,user0017,Name017,80,CA,2023-12-07 23:29:50
18,user0018,Name018,167,AU,2023-08-24 23:29:50
19,user0019,Name019,850,JP,2023-06-11 23:29:50
20,user0020,Name020,492,AU,2023-07-11 23:29:50
21,user0021,Name021,843,CA,2023-02-28 23:29:50
22,user0022,Name022,925,US,2023-07-19 23:29:50
23,user0023,Name023,122,DE,2023-08-01 23:29:50
24,user0024,Name024,607,DE,2023-10-18 23:29:50
25,user0025,Name025,981,AU,2023-04-04 23:29:50
26,user0026,Name026,339,FR,2024-01-12 23:29:50
27,user0027,Name027,968,FR,2023-08-30 23:29:50
28,user0028,Name028,137,CA,2023-12-16 23:29:50
29,user0029,Name029,623,GB,2024-01-14 23:29:50
30,user0030,Name030,146,DE,2023-05-13 23:29:50
31,user0031,Name031,246,GB,2023-08-28 23:29:50
32,user0032,Name032,757,AU,2023-04-11 23:29:50
33,user0033,Name033,257,FR,2023-07-02 23:29:50
34,user0034,Name034,307,CA,2024-01-10 23:29:50
35,user0035,Name035,331,CA,2023-04-27 23:29:50
36,user0036,Name036,504,FR,2023-02-15 23:29:50
37,user0037,Name037,695,DE,2023-11-03 23:29:50
38,user0038,Name038,143,AU,2023-05-14 23:29:50
39,user0039,Name039,644,FR,2023-10-03 23:29:50
40,user0040,Name040,23,DE,2023-06-23 23:29:50
41,user0041,Name041,559,US,2023-06-04 23:29:50
42,user0042,Name042,935,AU,2023-11-27 23:29:50
43,user0043,Name043,646,CA,2023-03-12 23:29:50
44,user0044,Name044,776,CA,2023-04-20 23:29:50
45,user0045,Name045,783,JP,2023-12-26 23:29:50
46,user0046,Name046,463,JP,2023-03-22 23:29:50
47,user0047,Name047,296,AU,2023-07-08 23:29:50
48,user0048,Name048,708,JP,2023-08-17 23:29:50
